"Date","Standardized_score","Prices","Policy","Finance","Growth","Global","Other"
"2021/04/22",0.506257644290866,0.0421881370242388,0.305863993425731,0.0316411027681791,0,0,0.0632822055363582
"2021/06/10",0.506257644290866,0.105470342560597,0.242581787889373,0.0316411027681791,0,0,0.0632822055363582
"2021/07/22",0.822145678538472,0.322985802282971,0.293623456620883,0.0293623456620883,0,0,0.117449382648353
"2021/09/09",0.853734481963233,0.339596605047597,0.213433620490808,0.0426867240981617,0,0,0.0872706359340194
"2021/10/28",1.01167849908704,0.337226166362345,0.281021805301955,0.0562043610603909,0,0,0.112408722120782
"2021/12/16",1.13803371278608,0.391199088770215,0.463777769432592,0.035563553524565,0,0,0.176366194009577
"2022/02/03",1.32756653333464,0.331891633333661,0.618305404373788,0.0474130904762372,0,0,0.235130224198483
"2022/03/10",1.42233294360892,0.507976051288902,0.510049422926815,0.0507976051288902,0,0,0.251914654006537
"2022/04/14",1.42233294360892,0.464315299773161,0.261244826377149,0.129302994873539,-0.0117548177157762,0,0.320618650553774
"2022/07/01",2.14887542237842,0.981008344998843,0.484625113742545,0,0.280288098571098,0,0.122665766494834
"2022/07/27",1.58027696073273,0.607798831051049,0.972478129681679,0,0,0,0
"2022/09/14",1.54868815730797,0.516229385769322,0.671098201500119,0.103245877153864,0.0516229385769322,0,0.103245877153864
"2022/11/23",1.95934260182986,0.907518750111046,0.753593308396098,0,-0.00320678003572808,0,0
"2022/12/21",0.348313627167063,0.149968367252485,0.0636066551668247,0.0774030282593472,0.0186340623587317,0,0
"2023/02/08",1.26438892648512,0.344833343586851,0.464034993221812,0.344833343586851,-0.00425720177267718,0,0
"2023/03/22",2.02252020867938,0.809008083471751,0.471921382025188,0.26966936115725,0.235960691012594,0,0.235960691012594
"2023/05/10",2.18046422580318,0.749534577619843,0.681395070563494,0.340697535281747,0,0,0.136279014112699
"2023/06/21",1.26438892648512,0.172017559127237,0.31609723162128,0.10536574387376,0.196762544430923,0,0.0526828719368801
"2023/08/02",1.45392174703369,0.363480436758421,0.666380800723772,0.12116014558614,0,0,0.0605800727930702
"2023/09/20",1.99093140525462,0.426628158268846,0.639942237403269,0.284418772179231,0.14839240287612,-0.00618301678650502,0.0711046930448077
"2023/10/26",1.10644490936132,0.553222454680659,0.474190675440565,0.158063558480188,0.0790317792400941,0,-0.158063558480188
"2023/12/14",1.07485610593656,0.399625988104618,0.178189797704022,0,0.227373407025041,0,0.000952886618738083
"2024/01/25",1.10644490936132,0.331933472808395,0.440670300107697,0,0.110644490936132,0,0.00190766363682986
"2024/03/07",1.16962251621084,0.29240562905271,0.349878459590656,0,0.29240562905271,0,0.00100829527259555
"2024/03/13",0.379902430591823,0.111736008997595,0.156430412596633,-0.000333540325365955,0.044694403599038,0,0.000333540325365955
"2024/04/11",1.07485610593656,0.403071039726209,0.267575407727851,0,0,0,0.269852645240428
"2024/06/12",0.790556875113712,0.273654302923977,0.303318726005167,0.0608120673164394,0.091218100974659,0,0.000741610577029748
"2024/07/18",2.71747388402411,1.55284221944235,1.16463166458176,0.388210554860587,0,0,-0.388210554860587
NA,0.127192003193738,0,0.127192003193738,0,0,0,0
